FoilID,Total_Grade,printingDay,toKobeday,QCday,toCERNday,R_grade,R_mean[Mohm/sq],R_rms,GoodRatio[%],Max,Min,ratio_mu[CH/JP],ratio_rms[CH/JP],width_grade,width_mean[um],width_rms,pitch_grade,pitch_mean[um],pitch_rms,eta[mm]
SE8_00059,nan,nan,nan,nan,nan,A,0.84,0.18,100,1.65,0.56,nan,nan,A,326.9,20.3,A,425.5,16.4,473.4
SE8_00060,nan,nan,nan,nan,nan,A,0.84,0.16,100,1.47,0.6,nan,nan,A,327.5,21,A,425.5,16.7,473.4
SE8_00061,nan,nan,nan,nan,nan,A,0.84,0.17,100,1.7,0.59,nan,nan,A,326.8,20.6,A,425.5,16.7,473.5
SE8_00062,nan,nan,nan,nan,nan,A,0.82,0.14,100,1.44,0.55,nan,nan,A,326.2,20.3,A,425.5,16.4,473.4
SE8_00063,nan,nan,nan,nan,nan,A,0.86,0.2,100,1.71,0.55,nan,nan,A,326.7,20.6,A,425.6,16.5,473.5
SE8_00064,nan,nan,nan,nan,nan,A,0.86,0.18,100,1.68,0.53,nan,nan,A,327.1,20.4,A,425.6,16.6,473.5
SE8_00065,nan,nan,nan,nan,nan,A,0.95,0.23,100,1.88,0.63,nan,nan,A,328.5,20.9,A,425.6,16.8,473.5
SE8_00066,nan,nan,nan,nan,nan,A,0.92,0.18,100,1.76,0.56,nan,nan,A,327.5,20.4,A,425.6,16.6,473.5
SE8_00067,nan,nan,nan,nan,nan,A,0.96,0.21,100,1.72,0.58,nan,nan,A,325.9,20.6,A,425.6,16.5,473.5
SE8_00068,nan,nan,nan,nan,nan,A,0.97,0.22,100,1.8,0.55,nan,nan,A,324.9,20.2,A,425.6,16.3,473.5
SE8_00069,nan,nan,nan,nan,nan,A,0.87,0.18,100,1.68,0.6,nan,nan,A,326.1,20.5,A,425.6,16.4,473.5
SE8_00070,nan,nan,nan,nan,nan,A,0.88,0.17,100,1.75,0.61,nan,nan,A,326.2,20.2,A,425.5,16.3,473.4
SE8_00071,nan,nan,nan,nan,nan,A,0.94,0.19,100,2,0.66,nan,nan,A,325.8,20.3,A,425.5,16.2,473.4
SE8_00072,nan,nan,nan,nan,nan,A,1.06,0.31,100,2.17,0.66,nan,nan,A,323.7,19.6,A,425.7,15.9,473.6
SE8_00073,nan,nan,nan,nan,nan,A,0.97,0.22,100,1.81,0.59,nan,nan,A,324.4,19.7,A,425.7,15.9,473.5
SE8_00074,nan,nan,nan,nan,nan,A,0.91,0.23,99.5,2.7,0.57,nan,nan,A,324.2,20.5,A,425.6,16,473.5
SE8_00075,nan,nan,nan,nan,nan,A,0.9,0.22,99.2,3.29,0.55,nan,nan,A,325.7,20.2,A,425.6,16.1,473.5
SE8_00076,nan,nan,nan,nan,nan,A,0.97,0.22,100,1.96,0.62,nan,nan,A,324.4,20.1,A,425.4,16.1,473.3
SE8_00077,nan,nan,nan,nan,nan,A,0.95,0.23,100,1.96,0.61,nan,nan,nan,-1,-1,nan,-1,-1,-1
SE8_00078,nan,nan,nan,nan,nan,A,1.07,0.23,100,1.98,0.7,nan,nan,A,322.5,19.9,A,425.5,15.9,473.3
SE8_00079,nan,nan,nan,nan,nan,A,1,0.22,100,1.92,0.65,nan,nan,A,323,20,A,425.4,16.1,473.3
SE8_00080,nan,nan,nan,nan,nan,A,1.03,0.25,100,1.97,0.67,nan,nan,A,324.2,20.1,A,425.5,16.2,473.3
SE8_00081,nan,nan,nan,nan,nan,A,1.03,0.25,100,1.99,0.67,nan,nan,A,323.7,20.2,A,425.4,16.4,473.3
SE8_00082,nan,nan,nan,nan,nan,A,1,0.23,100,1.94,0.64,nan,nan,A,323.2,20.1,A,425.5,16.1,473.3
SE8_00083,nan,nan,nan,nan,nan,A,0.99,0.23,100,1.98,0.66,nan,nan,A,320.7,19.4,A,425.5,15.8,473.3
SE8_00084,nan,nan,nan,nan,nan,A,1,0.21,100,1.81,0.61,nan,nan,A,323.5,20.1,A,425.5,16.1,473.4
SE8_00085,nan,nan,nan,nan,nan,A,1,0.2,100,1.78,0.65,nan,nan,A,323.1,19.8,A,425.5,16,473.3
SE7_00002,nan,nan,nan,nan,nan,A,1.7,0.27,99.5,2.63,1.17,nan,nan,A,287.3,16.1,A,425.7,13.5,450.4
SE7_00003,nan,nan,nan,nan,nan,B,1.59,0.27,98.7,2.72,1.09,nan,nan,A,286.8,15.3,A,425.7,12.8,450.2
SE7_00005,nan,nan,nan,nan,nan,A,1.31,0.21,100,2,0.91,nan,nan,A,291.7,16.1,A,425.6,13,450.2
SE7_00006,nan,nan,nan,nan,nan,A,1.15,0.19,100,1.8,0.77,nan,nan,A,297.3,17,A,425.6,13.4,450.2
SE7_00007,nan,nan,nan,nan,nan,A,1.09,0.15,100,1.74,0.78,nan,nan,A,303.1,17.1,A,425.6,13.6,450.2
SE7_00008,nan,nan,nan,nan,nan,A,1.03,0.16,100,1.85,0.66,nan,nan,A,304.3,17.6,A,425.6,13.7,450.3
SE7_00009,nan,nan,nan,nan,nan,A,1.01,0.16,100,1.7,0.69,nan,nan,A,306.5,17.6,A,425.6,13.9,450.3
SE7_00010,nan,nan,nan,nan,nan,A,1.04,0.15,100,1.73,0.73,nan,nan,A,300.8,17.9,A,425.6,13.6,450.3
SE7_00011,nan,nan,nan,nan,nan,A,1.1,0.14,100,1.87,0.73,nan,nan,A,308.7,17.6,A,425.6,13.9,450.2
SE7_00012,nan,nan,nan,nan,nan,A,1.06,0.2,100,1.76,0.64,nan,nan,A,310.4,18.1,A,425.6,14.3,450.2
SE7_00013,nan,nan,nan,nan,nan,A,0.95,0.18,100,1.59,0.62,nan,nan,A,309.7,17.5,A,425.6,14.1,450.3
SE7_00014,nan,nan,nan,nan,nan,A,0.87,0.13,100,1.48,0.57,nan,nan,A,311.7,17.9,A,425.6,14.3,450.2
SE7_00015,nan,nan,nan,nan,nan,A,0.88,0.14,100,1.55,0.62,nan,nan,A,311.3,18,A,425.6,14.4,450.3
